RUSSIA,41839.59,43840.38,47367.08,51073.40,52968.62,55201.42,58346.55,61324.34,65131.24,68193.62
RUSSIA,25570.00,26794.00,29405.00,32021.00,33084.00,34354.00,36415.00,38482.00,41224.53,43383.78
SAUDI ARABIA,2160.00,2290.00,2450.00,2620.00,2830.00,3110.00,3410.00,3689.00,3867.50,4110.00
SENEGAL,163.00,168.00,172.00,189.00,197.48,205.89,257.45,292.02,304.86,320.00
SERBIA,1497.00,1527.00,1491.00,1500.00,1650.00,1567.00,1678.00,1726.00,1770.21,1797.25
SINGAPORE,462.97,498.05,541.49,577.15,604.07,623.82,633.33,648.22,651.00,648.00
SLOVAKIA,1304.00,1334.00,1434.00,1545.00,1589.00,1669.00,1749.00,1826.00,1882.58,1952.00
SLOVENIA,964.78,985.57,1020.13,1051.84,1065.93,1068.93,1074.11,1073.97,1071.92,1076.96
SOUTH AFRICA,4575.00,4890.00,5161.00,5276.00,5411.00,5596.00,5832.00,6111.00,6188.34,6383.93
SOUTH KOREA,11122.00,11607.00,12100.00,12484.00,13024.00,13632.00,14136.00,14577.00,15078.00,15747.16
SPAIN,20250.00,21053.00,21760.00,22145.00,21983.00,22147.00,22277.00,22248.00,22024.54,22029.51
SRI LANKA,340.00,343.00,348.00,352.00,387.00,410.28,468.17,499.71,528.09,558.00
SUDAN,38.00,39.00,40.00,40.00,41.00,41.00,42.00,44.00,50.00,50.00
SURINAME,67.00,71.00,83.19,95.39,107.58,119.77,124.99,130.44,136.42,140.00
SWEDEN,4154.00,4202.00,4258.00,4279.00,4301.00,4335.00,4401.00,4447.00,4495.47,4585.52
SWITZERLAND,3861.00,3900.00,3956.00,3990.00,4010.00,4076.00,4163.00,4255.00,4320.89,4384.49
SYRIA,2160.00,2290.00,2450.00,2620.00,2830.00,3110.00,3410.00,3689.00,3867.50,4250.00
TAIWAN,5634.00,5698.00,5713.00,5674.00,5704.00,5643.00,5960.00,6091.00,6237.00,6406.00
TANZANIA,32.00,40.00,80.00,177.00,180.00,190.00,200.00,210.00,220.00,230.00
THAILAND,3943.00,3708.00,3942.00,4188.00,4462.00,4750.00,5405.00,6274.00,7109.00,8380.96
TOGO,101.00,101.00,105.00,105.00,106.00,108.00,111.00,116.00,120.00,130.00
TRINIDAD,310.00,308.00,312.00,314.00,317.00,320.00,324.00,328.90,332.64,337.72
TUNISIA,852.00,874.00,830.00,787.00,820.00,848.00,855.00,862.00,891.10,940.00
TURKEY,5773.00,6141.00,6472.00,6797.00,7094.00,7545.00,8113.00,8649.00,9283.92,9857.92
UGANDA,57.00,59.00,91.00,94.00,97.00,101.07,110.00,120.00,130.00,140.00
UKRAINE,5539.00,5604.00,5940.00,6394.00,6519.00,6770.00,6901.00,7136.00,7347.00,7340.00
UNITED ARAB EMIRATES,796.00,807.00,1000.00,1318.00,1337.00,1347.31,1446.21,1559.00,1700.00,1830.00
UNITED KINGDOM,30477.06,30817.04,31105.99,31252.48,31035.79,31258.20,31362.72,31482.00,32103.00,32613.78
URUGUAY,466.00,548.00,574.00,573.00,600.00,612.37,649.50,690.93,740.90,790.00
VENEZUELA,2658.00,2869.00,3244.00,3826.00,3821.00,3927.00,3983.00,4000.00,3444.00,3510.00
VIETNAM,525.00,532.00,800.00,1203.60,1300.00,1430.00,1570.00,1700.00,1794.00,1899.42
YEMEN,347.97,368.78,393.76,412.25,430.74,449.10,470.00,490.00,528.57,560.00
ZAMBIA,294.00,303.00,200.00,135.00,190.00,200.00,210.00,220.00,230.00,240.00
ZIMBABWE,590.00,599.00,610.00,617.00,626.00,650.00,680.00,710.00,750.00,790.00
